"DATE","TMAX","TMIN"
"2007-11-12","65","50"
"2007-11-13","55","36"
"2007-11-14","60","44"
"2007-11-15","44","35"
"2007-11-16","39","27"
"2007-11-17","43","34"
"2007-11-18","44","33"
"2007-11-19","60","37"
"2007-11-20","62","56"
"2007-11-21","61","42"
"2007-11-22","42","33"
"2007-11-23","36","26"
"2007-11-24","36","24"
"2007-11-25","38","24"
"2007-11-26","38","34"
"2007-11-27","41","23"
"2007-11-28","47","21"
"2007-11-29","45","24"
"2007-11-30","40","20"
"2007-12-01","33","17"
"2007-12-02","54","32"
"2007-12-03","32","25"
"2007-12-04","33","26"
"2007-12-05","26","3"
"2007-12-06","24","1"
"2007-12-07","32","24"
"2007-12-08","33","26"
"2007-12-09","31","28"
"2007-12-10","33","30"
"2007-12-11","38","31"
"2007-12-12","39","31"
"2007-12-13","37","31"
"2007-12-14","32","29"
"2007-12-15","30","28"
"2007-12-16","30","17"
"2007-12-17","21","14"
"2007-12-18","38","13"
"2007-12-19","39","18"
"2007-12-20","35","17"
"2007-12-21","37","24"
"2007-12-22","47","36"
"2007-12-23","52","23"
"2007-12-24","29","24"
"2007-12-25","37","24"
"2007-12-26","44","21"
"2007-12-27","35","32"
"2007-12-28","40","31"
"2007-12-29","34","27"
"2007-12-30","31","27"
"2007-12-31","40","24"
"2008-01-01","36","16"
"2008-01-02","16","7"
"2008-01-03","19","4"
"2008-01-04","34","18"
"2008-01-05","41","32"
"2008-01-06","57","41"
"2008-01-07","66","55"
"2008-01-08","59","46"
"2008-01-09","45","32"
"2008-01-10","52","30"
"2008-01-11","47","32"
"2008-01-12","41","29"
"2008-01-13","37","30"
"2008-01-14","30","20"
"2008-01-15","25","17"
"2008-01-16","34","12"
"2008-01-17","35","22"
"2008-01-18","30","16"
"2008-01-19","27","3"
"2008-01-20","14","-1"
"2008-01-21","29","5"
"2008-01-22","32","10"
"2008-01-23","22","5"
"2008-01-24","19","2"
"2008-01-25","21","-5"
"2008-01-26","31","19"
"2008-01-27","33","19"
"2008-01-28","43","17"
"2008-01-29","53","14"
"2008-01-30","17","6"
"2008-01-31","25","9"
"2008-02-01","35","24"
"2008-02-02","34","25"
"2008-02-03","32","26"
"2008-02-04","50","32"
"2008-02-05","53","35"
"2008-02-06","37","32"
"2008-02-07","33","29"
"2008-02-08","39","29"
"2008-02-09","39","30"
"2008-02-10","30","2"
"2008-02-11","13","2"
"2008-02-12","20","13"
"2008-02-13","25","4"
"2008-02-14","32","3"
"2008-02-15","35","14"
"2008-02-16","33","7"
"2008-02-17","53","32"
"2008-02-18","34","18"
"2008-02-19","18","8"
"2008-02-20","23","7"
"2008-02-21","22","4"
"2008-02-22","28","20"
"2008-02-23","34","13"
"2008-02-24","32","12"
"2008-02-25","33","30"
"2008-02-26","34","22"
"2008-02-27","24","6"
"2008-02-28","23","0"
"2008-02-29","38","21"
"2008-03-01","33","23"
"2008-03-02","49","27"
"2008-03-03","56","31"
"2008-03-04","31","24"
"2008-03-05","31","12"
"2008-03-06","35","25"
"2008-03-07","29","21"
"2008-03-08","27","17"
"2008-03-09","34","15"
"2008-03-10","42","26"
"2008-03-11","38","22"
"2008-03-12","44","28"
"2008-03-13","54","33"
"2008-03-14","56","37"
"2008-03-15","43","32"
"2008-03-16","45","26"
"2008-03-17","41","27"
"2008-03-18","56","37"
"2008-03-19","46","31"
"2008-03-20","47","30"
"2008-03-21","42","30"
"2008-03-22","40","26"
"2008-03-23","41","24"
"2008-03-24","41","25"
"2008-03-25","52","30"
"2008-03-26","53","31"
"2008-03-27","44","34"
"2008-03-28","41","29"
"2008-03-29","44","25"
"2008-03-30","50","30"
"2008-03-31","62","50"
"2008-04-01","59","33"
"2008-04-02","47","26"
"2008-04-03","54","28"
"2008-04-04","44","35"
"2008-04-05","59","31"
"2008-04-06","64","34"
"2008-04-07","70","39"
"2008-04-08","70","38"
"2008-04-09","65","35"
"2008-04-10","48","35"
"2008-04-11","69","47"
"2008-04-12","47","36"
"2008-04-13","41","33"
"2008-04-14","53","28"
"2008-04-15","58","27"
"2008-04-16","68","38"
"2008-04-17","75","46"
"2008-04-18","78","49"
"2008-04-19","63","52"
"2008-04-20","61","50"
"2008-04-21","72","49"
"2008-04-22","77","50"
"2008-04-23","78","53"
"2008-04-24","74","48"
"2008-04-25","81","61"
"2008-04-26","71","45"
"2008-04-27","61","39"
"2008-04-28","56","39"
"2008-04-29","51","35"
"2008-04-30","61","29"
"2008-05-01","78","44"
"2008-05-02","77","61"
"2008-05-03","69","46"
"2008-05-04","66","37"
"2008-05-05","73","42"
"2008-05-06","78","48"
"2008-05-07","68","58"
"2008-05-08","59","49"
"2008-05-09","61","46"
"2008-05-10","65","39"
"2008-05-11","57","49"
"2008-05-12","63","43"
"2008-05-13","70","40"
"2008-05-14","60","48"
"2008-05-15","58","47"
"2008-05-16","68","48"
"2008-05-17","70","52"
"2008-05-18","58","41"
"2008-05-19","62","38"
"2008-05-20","59","45"
"2008-05-21","60","44"
"2008-05-22","67","40"
"2008-05-23","67","50"
"2008-05-24","71","43"
"2008-05-25","78","43"
"2008-05-26","83","62"
"2008-05-27","67","49"
"2008-05-28","68","40"
"2008-05-29","75","40"
"2008-05-30","83","54"
"2008-05-31","79","62"
"2008-06-01","79","56"
"2008-06-02","84","53"
"2008-06-03","76","62"
"2008-06-04","82","67"
"2008-06-05","88","68"
"2008-06-06","91","68"
"2008-06-07","81","70"
"2008-06-08","90","74"
"2008-06-09","88","69"
"2008-06-10","78","60"
"2008-06-11","84","61"
"2008-06-12","88","66"
"2008-06-13","78","69"
"2008-06-14","81","63"
"2008-06-15","85","61"
"2008-06-16","78","54"
"2008-06-17","71","51"
"2008-06-18","74","53"
"2008-06-19","77","52"
"2008-06-20","82","52"
"2008-06-21","80","60"
"2008-06-22","80","55"
"2008-06-23","75","53"
"2008-06-24","78","53"
"2008-06-25","80","61"
"2008-06-26","85","66"
"2008-06-27","83","64"
"2008-06-28","83","68"
"2008-06-29","75","61"
"2008-06-30","76","59"
"2008-07-01","80","50"
"2008-07-02","86","60"
"2008-07-03","74","59"
"2008-07-04","76","57"
"2008-07-05","81","56"
"2008-07-06","84","59"
"2008-07-07","85","64"
"2008-07-08","86","69"
"2008-07-09","80","60"
"2008-07-10","85","59"
"2008-07-11","87","64"
"2008-07-12","85","72"
"2008-07-13","82","62"
"2008-07-14","82","59"
"2008-07-15","88","59"
"2008-07-16","89","66"
"2008-07-17","89","68"
"2008-07-18","89","67"
"2008-07-19","86","69"
"2008-07-20","86","70"
"2008-07-21","84","68"
"2008-07-22","82","63"
"2008-07-23","81","60"
"2008-07-24","81","57"
"2008-07-25","82","56"
"2008-07-26","86","61"
"2008-07-27","83","55"
"2008-07-28","84","62"
"2008-07-29","88","62"
"2008-07-30","85","70"
"2008-07-31","89","68"
"2008-08-01","89","67"
"2008-08-02","84","64"
"2008-08-03","84","58"
"2008-08-04","81","64"
"2008-08-05","83","69"
"2008-08-06","85","65"
"2008-08-07","82","62"
"2008-08-08","78","58"
"2008-08-09","79","53"
"2008-08-10","75","54"
"2008-08-11","78","54"
"2008-08-12","80","54"
"2008-08-13","78","58"
"2008-08-14","80","55"
"2008-08-15","80","55"
"2008-08-16","81","56"
"2008-08-17","81","55"
"2008-08-18","84","60"
"2008-08-19","86","59"
"2008-08-20","82","57"
"2008-08-21","87","57"
"2008-08-22","87","70"
"2008-08-23","91","67"
"2008-08-24","86","61"
"2008-08-25","79","57"
"2008-08-26","82","52"
"2008-08-27","86","59"
"2008-08-28","83","61"
"2008-08-29","89","62"
"2008-08-30","87","55"
"2008-08-31","89","56"
"2008-09-01","90","53"
"2008-09-02","94","62"
"2008-09-03","93","61"
"2008-09-04","80","68"
"2008-09-05","77","65"
"2008-09-06","80","58"
"2008-09-07","75","54"
"2008-09-08","77","51"
"2008-09-09","71","52"
"2008-09-10","74","47"
"2008-09-11","83","47"
"2008-09-12","74","69"
"2008-09-13","88","68"
"2008-09-14","81","61"
"2008-09-15","72","58"
"2008-09-16","71","52"
"2008-09-17","80","48"
"2008-09-18","75","52"
"2008-09-19","80","47"
"2008-09-20","81","52"
"2008-09-21","83","50"
"2008-09-22","81","55"
"2008-09-23","84","51"
"2008-09-24","85","50"
"2008-09-25","83","51"
"2008-09-26","80","52"
"2008-09-27","80","54"
"2008-09-28","81","48"
"2008-09-29","80","55"
"2008-09-30","67","49"
"2008-10-01","62","40"
"2008-10-02","63","40"
"2008-10-03","56","43"
"2008-10-04","63","36"
"2008-10-05","69","35"
"2008-10-06","71","50"
"2008-10-07","74","46"
"2008-10-08","64","46"
"2008-10-09","73","43"
"2008-10-10","77","37"
"2008-10-11","85","46"
"2008-10-12","87","46"
"2008-10-13","83","51"
"2008-10-14","70","54"
"2008-10-15","77","55"
"2008-10-16","60","48"
"2008-10-17","60","47"
"2008-10-18","60","40"
"2008-10-19","60","32"
"2008-10-20","68","38"
"2008-10-21","56","34"
"2008-10-22","53","28"
"2008-10-23","62","30"
"2008-10-24","50","46"
"2008-10-25","48","40"
"2008-10-26","60","38"
"2008-10-27","46","34"
"2008-10-28","40","31"
"2008-10-29","51","30"
"2008-10-30","58","25"
"2008-10-31","71","36"
"2008-11-01","65","43"
"2008-11-02","65","45"
"2008-11-03","72","50"
"2008-11-04","72","45"
"2008-11-05","73","38"
"2008-11-06","74","43"
"2008-11-07","64","41"
"2008-11-08","42","37"
"2008-11-09","38","32"
"2008-11-10","37","23"
"2008-11-11","41","21"
"2008-11-12","57","37"
"2008-11-13","54","49"
"2008-11-14","55","46"
"2008-11-15","46","35"
"2008-11-16","37","32"
"2008-11-17","35","26"
"2008-11-18","33","20"
"2008-11-19","40","21"
"2008-11-20","39","26"
"2008-11-21","30","16"
"2008-11-22","29","16"
"2008-11-23","41","14"
"2008-11-24","39","28"
"2008-11-25","37","30"
"2008-11-26","41","24"
"2008-11-27","46","20"
"2008-11-28","42","26"
"2008-11-29","46","18"
"2008-11-30","34","30"
"2008-12-01","35","25"
"2008-12-02","28","22"
"2008-12-03","40","24"
"2008-12-04","33","18"
"2008-12-05","19","13"
"2008-12-06","31","16"
"2008-12-07","23","11"
"2008-12-08","36","20"
"2008-12-09","48","34"
"2008-12-10","34","22"
"2008-12-11","32","20"
"2008-12-12","30","13"
"2008-12-13","38","13"
"2008-12-14","54","37"
"2008-12-15","54","14"
"2008-12-16","24","13"
"2008-12-17","25","18"
"2008-12-18","25","17"
"2008-12-19","34","22"
"2008-12-20","26","21"
"2008-12-21","28","-2"
"2008-12-22","11","-1"
"2008-12-23","34","11"
"2008-12-24","45","16"
"2008-12-25","25","10"
"2008-12-26","53","25"
"2008-12-27","65","52"
"2008-12-28","57","27"
"2008-12-29","45","26"
"2008-12-30","41","25"
"2008-12-31","36","18"
"2009-01-01","33","15"
"2009-01-02","36","20"
"2009-01-03","34","16"
"2009-01-04","42","28"
"2009-01-05","29","17"
"2009-01-06","29","17"
"2009-01-07","30","20"
"2009-01-08","21","13"
"2009-01-09","28","10"
"2009-01-10","28","19"
"2009-01-11","25","20"
"2009-01-12","31","21"
"2009-01-13","34","-1"
"2009-01-14","13","-6"
"2009-01-15","5","-14"
"2009-01-16","1","-19"
"2009-01-17","30","-13"
"2009-01-18","24","4"
"2009-01-19","20","3"
"2009-01-20","16","-1"
"2009-01-21","26","2"
"2009-01-22","34","16"
"2009-01-23","39","22"
"2009-01-24","28","4"
"2009-01-25","14","1"
"2009-01-26","19","6"
"2009-01-27","21","14"
"2009-01-28","22","4"
"2009-01-29","27","4"
"2009-01-30","19","0"
"2009-01-31","34","-7"
"2009-02-01","40","27"
"2009-02-02","31","13"
"2009-02-03","22","4"
